transect,cam,transect_cam,mission,n_distance_annotations,reference_dir,n_reference_clips,status,note
2,9,2_cam009,M1,1364,videos/reference/mission_1_phase_3_pss/E_V/Video_de_reference/T2/Cam9,3,found,
3,6,3_cam006,M1,516,videos/reference/mission_1_phase_3_pss/E_V/Video_de_reference/T3/Cam6,2,found,
4,146,4_cam146,M1,177,videos/reference/mission_1_phase_3_pss/E_V/Video_de_reference/T4/cam146,3,found,
6,84,6_cam084,M1,466,videos/reference/mission_1_phase_3_pss/E_V/Video_de_reference/T6/Cam__84,4,found,
8,149,8_cam149,M1,1,,0,missing,no reference footage found on /mnt/d/wcf/pss/p3
9,117,9_cam117,M1,572,videos/reference/mission_1_phase_3_pss/E_V/Video_de_reference/T9/Cam_117,2,found,
10,110,10_cam110,M1,182,videos/reference/mission_1_phase_3_pss/E_V/Video_de_reference/T10/Cam_110,3,found,
11,21,11_cam021,M2,281,,0,missing,no reference footage found on /mnt/d/wcf/pss/p3 (folder exists but is empty on the mount)
13,21,13_cam021,M2,422,,0,missing,no reference footage found on /mnt/d/wcf/pss/p3 (folder exists but is empty on the mount)
15,126,15_cam126,M1,687,videos/reference/mission_1_phase_3_pss/E_V/Video_de_reference/T15/Cam_126,3,found,
17,82,17_cam082,M1,2676,videos/reference/mission_1_phase_3_pss/E_V/Video_de_reference/T17/Cam_82,2,found,
18,9,18_cam009,M2,172,,0,missing,no reference footage found on /mnt/d/wcf/pss/p3 (folder exists but is empty on the mount)
19,51,19_cam051,M2,2237,,0,missing,no reference footage found on /mnt/d/wcf/pss/p3 (folder exists but is empty on the mount)
22,149,22_cam149,M5,841,videos/reference/mission_5_phase_3_pss/Videos_reference/T22/CAM149,3,found,
24,71,24_cam071,M5,84,videos/reference/mission_5_phase_3_pss/Videos_reference/T24/CAM71,3,found,
25,76,25_cam076,M4_M5,38,videos/reference/mission_5_phase_3_pss/Videos_reference/T25/CAM76,3,found,
27,43,27_cam043,M2,281,,0,missing,no reference footage found on /mnt/d/wcf/pss/p3 (folder exists but is empty on the mount)
28,23,28_cam023,M2,68,,0,missing,no reference footage found on /mnt/d/wcf/pss/p3 (folder exists but is empty on the mount)
28,34,28_cam034,M2,991,,0,missing,no reference footage found on /mnt/d/wcf/pss/p3 (folder exists but is empty on the mount)
29,30,29_cam030,M2,4,,0,missing,no reference footage found on /mnt/d/wcf/pss/p3 (folder exists but is empty on the mount)
35,106,35_cam106,M5,383,videos/reference/mission_5_phase_3_pss/Videos_reference/T35/CAM106,3,found,
36,79,36_cam079,M5,43,videos/reference/mission_5_phase_3_pss/Videos_reference/T36/CAM79,3,found,
36,108,36_cam108,M5,55,videos/reference/mission_5_phase_3_pss/Videos_reference/T36/CAM108,3,found,
37,48,37_cam048,M1,676,videos/reference/mission_1_phase_3_pss/E_III/Videos_Ref/T37/37_Cam048,3,found,
39,103,39_cam103,M5,40,videos/reference/mission_5_phase_3_pss/Videos_reference/T39/CAM103,3,found,
39,117,39_cam117,M5,500,videos/reference/mission_5_phase_3_pss/Videos_reference/T39/CAM117,3,found,
